chip_start_seconds	        chip_end_seconds	        sensor_platform
2018-08-28 03:27:06.368000	2018-08-28 03:27:16.352000	adeon_en626_chb.amar493.4
2018-08-28 03:24:23.744000	2018-08-28 03:24:33.728000	adeon_en626_chb.amar493.4
2018-08-28 03:34:09.664000	2018-08-28 03:34:19.648000	adeon_en626_chb.amar493.4
2018-08-28 03:38:14.144000	2018-08-28 03:38:24.128000	adeon_en626_chb.amar493.4
2018-08-28 03:36:30.976000	2018-08-28 03:36:40.960000	adeon_en626_chb.amar493.4
2018-08-28 03:35:39.072000	2018-08-28 03:35:49.056000	adeon_en626_chb.amar493.4
2018-08-28 03:20:39.872000	2018-08-28 03:20:49.856000	adeon_en626_chb.amar493.4
2018-08-28 03:27:23.200000	2018-08-28 03:27:33.184000	adeon_en626_chb.amar493.4
2018-08-28 03:38:23.296000	2018-08-28 03:38:33.280000	adeon_en626_chb.amar493.4
2018-08-28 03:20:38.144000	2018-08-28 03:20:48.128000	adeon_en626_chb.amar493.4
2018-08-28 03:37:42.784000	2018-08-28 03:37:52.768000	adeon_en626_chb.amar493.4
2018-08-28 03:36:52.672000	2018-08-28 03:37:02.656000	adeon_en626_chb.amar493.4
2018-08-28 03:28:57.472000	2018-08-28 03:29:07.456000	adeon_en626_chb.amar493.4
2018-08-28 03:20:36.032000	2018-08-28 03:20:46.016000	adeon_en626_chb.amar493.4
2018-08-28 03:34:35.328000	2018-08-28 03:34:45.312000	adeon_en626_chb.amar493.4
2018-08-28 03:37:04.704000	2018-08-28 03:37:14.688000	adeon_en626_chb.amar493.4
2018-08-28 03:35:02.144000	2018-08-28 03:35:12.128000	adeon_en626_chb.amar493.4
2018-08-28 03:27:00.864000	2018-08-28 03:27:10.848000	adeon_en626_chb.amar493.4
2018-08-28 03:37:02.592000	2018-08-28 03:37:12.576000	adeon_en626_chb.amar493.4
2018-08-28 03:24:21.056000	2018-08-28 03:24:31.040000	adeon_en626_chb.amar493.4
2018-08-28 03:35:27.040000	2018-08-28 03:35:37.024000	adeon_en626_chb.amar493.4
2018-08-28 03:29:39.968000	2018-08-28 03:29:49.952000	adeon_en626_chb.amar493.4
2018-08-28 03:23:41.888000	2018-08-28 03:23:51.872000	adeon_en626_chb.amar493.4
2018-08-28 03:21:54.880000	2018-08-28 03:22:04.864000	adeon_en626_chb.amar493.4
2018-08-28 03:34:30.208000	2018-08-28 03:34:40.192000	adeon_en626_chb.amar493.4
2018-08-28 03:35:57.760000	2018-08-28 03:36:07.744000	adeon_en626_chb.amar493.4
2018-08-28 03:34:38.528000	2018-08-28 03:34:48.512000	adeon_en626_chb.amar493.4
2018-08-28 03:23:53.664000	2018-08-28 03:24:03.648000	adeon_en626_chb.amar493.4
2018-08-28 03:37:38.752000	2018-08-28 03:37:48.736000	adeon_en626_chb.amar493.4
2018-08-28 03:26:29.312000	2018-08-28 03:26:39.296000	adeon_en626_chb.amar493.4
2018-08-28 03:23:41.632000	2018-08-28 03:23:51.616000	adeon_en626_chb.amar493.4
2018-08-28 03:21:49.120000	2018-08-28 03:21:59.104000	adeon_en626_chb.amar493.4
2018-08-28 03:37:17.376000	2018-08-28 03:37:27.360000	adeon_en626_chb.amar493.4
2018-08-28 03:31:14.432000	2018-08-28 03:31:24.416000	adeon_en626_chb.amar493.4
2018-08-28 03:19:36.064000	2018-08-28 03:19:43.168000	adeon_en626_chb.amar493.4
2018-08-28 03:19:40.416000	2018-08-28 03:19:50.400000	adeon_en626_chb.amar493.4
2018-08-28 03:31:59.872000	2018-08-28 03:32:09.856000	adeon_en626_chb.amar493.4
2018-08-28 03:21:50.592000	2018-08-28 03:22:00.576000	adeon_en626_chb.amar493.4
2018-08-28 03:29:28.896000	2018-08-28 03:29:38.880000	adeon_en626_chb.amar493.4
2018-08-28 03:34:59.072000	2018-08-28 03:35:09.056000	adeon_en626_chb.amar493.4
2018-08-28 03:23:56.928000	2018-08-28 03:24:06.912000	adeon_en626_chb.amar493.4
2018-08-28 03:24:11.904000	2018-08-28 03:24:21.888000	adeon_en626_chb.amar493.4
2018-06-16 21:03:08.096000	2018-06-16 21:03:18.080000	adeon_en626_chb.amar493.4
2018-06-16 21:03:56.928000	2018-06-16 21:04:06.912000	adeon_en626_chb.amar493.4
2018-06-16 21:00:15.680000	2018-06-16 21:00:25.664000	adeon_en626_chb.amar493.4
2018-06-16 20:59:56.800000	2018-06-16 21:00:06.784000	adeon_en626_chb.amar493.4
2018-06-16 20:59:49.184000	2018-06-16 20:59:59.168000	adeon_en626_chb.amar493.4
2018-06-16 21:01:11.360000	2018-06-16 21:01:21.344000	adeon_en626_chb.amar493.4
2018-06-16 21:01:05.664000	2018-06-16 21:01:15.648000	adeon_en626_chb.amar493.4
2018-06-16 20:59:41.120000	2018-06-16 20:59:51.104000	adeon_en626_chb.amar493.4
2018-06-16 21:00:53.824000	2018-06-16 21:01:03.808000	adeon_en626_chb.amar493.4
2018-06-16 21:02:41.344000	2018-06-16 21:02:51.328000	adeon_en626_chb.amar493.4
2018-06-16 21:01:57.952000	2018-06-16 21:02:07.936000	adeon_en626_chb.amar493.4
2018-06-16 21:01:43.168000	2018-06-16 21:01:53.152000	adeon_en626_chb.amar493.4
2018-06-16 21:00:08.256000	2018-06-16 21:00:18.240000	adeon_en626_chb.amar493.4
2018-06-16 20:59:45.280000	2018-06-16 20:59:55.264000	adeon_en626_chb.amar493.4
2018-06-16 21:00:36.096000	2018-06-16 21:00:46.080000	adeon_en626_chb.amar493.4
2018-06-16 21:01:24.800000	2018-06-16 21:01:34.784000	adeon_en626_chb.amar493.4
2018-06-16 21:01:21.088000	2018-06-16 21:01:31.072000	adeon_en626_chb.amar493.4
2018-06-16 21:01:50.080000	2018-06-16 21:02:00.064000	adeon_en626_chb.amar493.4
2018-06-16 21:00:56.064000	2018-06-16 21:01:06.048000	adeon_en626_chb.amar493.4
2018-06-16 21:01:39.008000	2018-06-16 21:01:48.992000	adeon_en626_chb.amar493.4
2018-06-16 20:59:36.064000	2018-06-16 20:59:44.576000	adeon_en626_chb.amar493.4
2018-06-16 21:00:26.240000	2018-06-16 21:00:36.224000	adeon_en626_chb.amar493.4
2018-06-16 21:00:04.416000	2018-06-16 21:00:14.400000	adeon_en626_chb.amar493.4
2018-06-16 21:00:59.456000	2018-06-16 21:01:09.440000	adeon_en626_chb.amar493.4
2018-06-16 20:59:38.560000	2018-06-16 20:59:48.544000	adeon_en626_chb.amar493.4
2018-06-16 21:02:13.248000	2018-06-16 21:02:23.232000	adeon_en626_chb.amar493.4
2018-06-16 21:01:36.960000	2018-06-16 21:01:46.944000	adeon_en626_chb.amar493.4
2018-06-16 21:02:15.808000	2018-06-16 21:02:25.792000	adeon_en626_chb.amar493.4
2018-06-16 21:02:55.552000	2018-06-16 21:03:05.536000	adeon_en626_chb.amar493.4
2018-06-16 21:01:55.520000	2018-06-16 21:02:05.504000	adeon_en626_chb.amar493.4
2018-06-16 21:02:17.600000	2018-06-16 21:02:27.584000	adeon_en626_chb.amar493.4
2018-06-16 21:00:57.664000	2018-06-16 21:01:07.648000	adeon_en626_chb.amar493.4
2018-06-16 21:00:02.880000	2018-06-16 21:00:12.864000	adeon_en626_chb.amar493.4
2018-06-16 20:59:52.384000	2018-06-16 21:00:02.368000	adeon_en626_chb.amar493.4
2018-06-16 21:00:51.712000	2018-06-16 21:01:01.696000	adeon_en626_chb.amar493.4
2018-06-16 21:02:23.104000	2018-06-16 21:02:33.088000	adeon_en626_chb.amar493.4
2018-06-16 21:04:15.488000	2018-06-16 21:04:25.472000	adeon_en626_chb.amar493.4
2018-06-16 21:01:53.024000	2018-06-16 21:02:03.008000	adeon_en626_chb.amar493.4
2018-06-16 21:02:10.112000	2018-06-16 21:02:20.096000	adeon_en626_chb.amar493.4
2018-06-16 21:01:22.880000	2018-06-16 21:01:32.864000	adeon_en626_chb.amar493.4
2018-06-16 21:00:19.712000	2018-06-16 21:00:29.696000	adeon_en626_chb.amar493.4
2018-06-16 21:00:34.368000	2018-06-16 21:00:44.352000	adeon_en626_chb.amar493.4
2018-06-16 21:00:50.752000	2018-06-16 21:01:00.736000	adeon_en626_chb.amar493.4
2018-06-16 20:59:53.344000	2018-06-16 21:00:03.328000	adeon_en626_chb.amar493.4
2018-06-16 21:04:27.072000	2018-06-16 21:04:34.880000	adeon_en626_chb.amar493.4
2018-06-16 21:02:58.112000	2018-06-16 21:03:08.096000	adeon_en626_chb.amar493.4
2018-06-16 21:01:32.480000	2018-06-16 21:01:42.464000	adeon_en626_chb.amar493.4
2018-06-16 21:00:01.472000	2018-06-16 21:00:11.456000	adeon_en626_chb.amar493.4
2018-06-16 21:01:26.912000	2018-06-16 21:01:36.896000	adeon_en626_chb.amar493.4
2018-06-16 21:02:36.416000	2018-06-16 21:02:46.400000	adeon_en626_chb.amar493.4
2018-06-16 21:01:19.552000	2018-06-16 21:01:29.536000	adeon_en626_chb.amar493.4
2018-06-16 21:04:20.352000	2018-06-16 21:04:30.336000	adeon_en626_chb.amar493.4
2018-06-16 21:00:41.408000	2018-06-16 21:00:51.392000	adeon_en626_chb.amar493.4
2018-06-16 21:01:47.456000	2018-06-16 21:01:57.440000	adeon_en626_chb.amar493.4
2018-06-16 21:00:10.944000	2018-06-16 21:00:20.928000	adeon_en626_chb.amar493.4
2018-10-22 10:54:21.952000	2018-10-22 10:54:31.936000	adeon_en626_chb.amar493.4
2018-10-22 10:57:41.248000	2018-10-22 10:57:51.232000	adeon_en626_chb.amar493.4
2018-10-22 10:43:11.808000	2018-10-22 10:43:21.792000	adeon_en626_chb.amar493.4
2018-10-22 10:57:15.968000	2018-10-22 10:57:25.952000	adeon_en626_chb.amar493.4
2018-10-22 10:52:13.440000	2018-10-22 10:52:23.424000	adeon_en626_chb.amar493.4
2018-10-22 10:55:45.600000	2018-10-22 10:55:55.584000	adeon_en626_chb.amar493.4
2018-10-22 10:52:55.168000	2018-10-22 10:53:05.152000	adeon_en626_chb.amar493.4
2018-10-22 10:56:11.840000	2018-10-22 10:56:21.824000	adeon_en626_chb.amar493.4
2018-10-22 10:54:53.120000	2018-10-22 10:55:03.104000	adeon_en626_chb.amar493.4
2018-10-22 10:44:24.320000	2018-10-22 10:44:34.304000	adeon_en626_chb.amar493.4
2018-10-22 10:55:09.824000	2018-10-22 10:55:19.808000	adeon_en626_chb.amar493.4
2018-10-22 10:43:42.080000	2018-10-22 10:43:52.064000	adeon_en626_chb.amar493.4
2018-10-22 10:56:29.504000	2018-10-22 10:56:39.488000	adeon_en626_chb.amar493.4
2018-10-22 10:50:12.608000	2018-10-22 10:50:22.592000	adeon_en626_chb.amar493.4
2018-10-22 10:52:00.768000	2018-10-22 10:52:10.752000	adeon_en626_chb.amar493.4
2018-10-22 10:44:45.696000	2018-10-22 10:44:55.680000	adeon_en626_chb.amar493.4
2018-10-22 10:50:35.648000	2018-10-22 10:50:45.632000	adeon_en626_chb.amar493.4
2018-10-22 10:52:23.936000	2018-10-22 10:52:33.920000	adeon_en626_chb.amar493.4
2018-10-22 10:43:27.744000	2018-10-22 10:43:37.728000	adeon_en626_chb.amar493.4
2018-10-22 10:43:33.120000	2018-10-22 10:43:43.104000	adeon_en626_chb.amar493.4
2018-10-22 10:49:41.696000	2018-10-22 10:49:51.680000	adeon_en626_chb.amar493.4
2018-10-22 10:42:58.304000	2018-10-22 10:43:08.288000	adeon_en626_chb.amar493.4
2018-10-22 10:53:35.616000	2018-10-22 10:53:45.600000	adeon_en626_chb.amar493.4
2018-10-22 10:44:39.104000	2018-10-22 10:44:49.088000	adeon_en626_chb.amar493.4
2018-10-22 10:52:47.616000	2018-10-22 10:52:57.600000	adeon_en626_chb.amar493.4
2018-10-22 10:47:57.184000	2018-10-22 10:48:07.168000	adeon_en626_chb.amar493.4
2018-10-22 10:56:41.664000	2018-10-22 10:56:51.648000	adeon_en626_chb.amar493.4
2018-10-22 10:50:20.608000	2018-10-22 10:50:30.592000	adeon_en626_chb.amar493.4
2018-10-22 10:51:06.304000	2018-10-22 10:51:16.288000	adeon_en626_chb.amar493.4
2018-10-22 10:42:35.648000	2018-10-22 10:42:45.632000	adeon_en626_chb.amar493.4
2018-10-22 10:53:53.280000	2018-10-22 10:54:03.264000	adeon_en626_chb.amar493.4
2018-10-22 10:53:05.024000	2018-10-22 10:53:15.008000	adeon_en626_chb.amar493.4
2018-10-22 10:57:59.296000	2018-10-22 10:58:09.280000	adeon_en626_chb.amar493.4
2018-10-22 10:44:33.408000	2018-10-22 10:44:43.392000	adeon_en626_chb.amar493.4
2018-10-22 10:55:56.736000	2018-10-22 10:56:06.720000	adeon_en626_chb.amar493.4
2018-10-22 10:56:22.464000	2018-10-22 10:56:32.448000	adeon_en626_chb.amar493.4
2018-10-22 10:56:03.520000	2018-10-22 10:56:13.504000	adeon_en626_chb.amar493.4
2018-10-22 10:53:18.720000	2018-10-22 10:53:28.704000	adeon_en626_chb.amar493.4
2018-10-22 10:44:49.792000	2018-10-22 10:44:59.776000	adeon_en626_chb.amar493.4
2018-10-22 10:48:00.192000	2018-10-22 10:48:10.176000	adeon_en626_chb.amar493.4
2018-10-22 10:53:28.896000	2018-10-22 10:53:38.880000	adeon_en626_chb.amar493.4
2018-10-22 10:53:16.672000	2018-10-22 10:53:26.656000	adeon_en626_chb.amar493.4
2018-10-22 10:55:35.616000	2018-10-22 10:55:45.600000	adeon_en626_chb.amar493.4
2018-10-22 10:50:28.032000	2018-10-22 10:50:38.016000	adeon_en626_chb.amar493.4
2018-10-22 10:55:03.104000	2018-10-22 10:55:13.088000	adeon_en626_chb.amar493.4
2018-10-22 10:55:17.760000	2018-10-22 10:55:27.744000	adeon_en626_chb.amar493.4
2018-10-22 10:53:55.840000	2018-10-22 10:54:05.824000	adeon_en626_chb.amar493.4
2018-10-22 10:56:36.160000	2018-10-22 10:56:46.144000	adeon_en626_chb.amar493.4
2018-10-22 10:53:11.744000	2018-10-22 10:53:21.728000	adeon_en626_chb.amar493.4
2018-10-22 10:58:03.200000	2018-10-22 10:58:13.184000	adeon_en626_chb.amar493.4
2018-10-22 10:45:05.216000	2018-10-22 10:45:15.200000	adeon_en626_chb.amar493.4
2018-10-22 10:49:37.664000	2018-10-22 10:49:47.648000	adeon_en626_chb.amar493.4
2018-10-22 10:47:53.664000	2018-10-22 10:48:03.648000	adeon_en626_chb.amar493.4
2018-10-22 10:55:38.176000	2018-10-22 10:55:48.160000	adeon_en626_chb.amar493.4
2018-10-22 10:42:33.984000	2018-10-22 10:42:43.968000	adeon_en626_chb.amar493.4
2018-10-22 10:43:48.416000	2018-10-22 10:43:58.400000	adeon_en626_chb.amar493.4
2018-10-22 10:44:07.360000	2018-10-22 10:44:17.344000	adeon_en626_chb.amar493.4
2018-10-22 10:58:19.392000	2018-10-22 10:58:29.376000	adeon_en626_chb.amar493.4
